Index	TrueGender	Prediction	PredictedGender	Source
0001-000	F	000	F	original
0001-000	F	000	F	adversarial
0002-000	F	000	F	original
0002-000	F	000	F	adversarial
0003-000	F	000	F	original
0003-000	F	000	F	adversarial
0004-000	F	000	F	original
0004-000	F	000	F	adversarial
0005-000	F	000	F	original
0005-000	F	000	F	adversarial
0006-000	F	000	F	original
0006-000	F	000	F	adversarial
0007-000	F	000	F	original
0007-000	F	000	F	adversarial
0008-000	F	000	F	original
0008-000	F	037	M	adversarial
0009-000	F	000	F	original
0009-000	F	000	F	adversarial
0010-000	F	000	F	original
0010-000	F	000	F	adversarial
0011-000	F	000	F	original
0011-000	F	000	F	adversarial
0012-001	M	001	M	original
0012-001	M	013	F	adversarial
0013-001	M	001	M	original
0013-001	M	136	F	adversarial
0014-001	M	107	F	original
0014-001	M	013	F	adversarial
0015-001	M	001	M	original
0015-001	M	025	F	adversarial
0016-001	M	001	M	original
0016-001	M	136	F	adversarial
0017-001	M	151	F	original
0017-001	M	170	F	adversarial
0018-001	M	001	M	original
0018-001	M	175	M	adversarial
0019-001	M	001	M	original
0019-001	M	175	M	adversarial
0020-001	M	001	M	original
0020-001	M	008	F	adversarial
0021-001	M	175	M	original
0021-001	M	025	F	adversarial
0022-002	M	133	F	original
0022-002	M	139	F	adversarial
0023-002	M	133	F	original
0023-002	M	139	F	adversarial
0024-002	M	133	F	original
0024-002	M	139	F	adversarial
0025-002	M	008	F	original
0025-002	M	139	F	adversarial
0026-002	M	028	F	original
0026-002	M	028	F	adversarial
0027-002	M	133	F	original
0027-002	M	056	M	adversarial
0028-002	M	139	F	original
0028-002	M	139	F	adversarial
0029-002	M	133	F	original
0029-002	M	139	F	adversarial
0030-002	M	133	F	original
0030-002	M	139	F	adversarial
0031-003	F	003	F	original
0031-003	F	231	M	adversarial
0032-003	F	003	F	original
0032-003	F	162	M	adversarial
0033-003	F	003	F	original
0033-003	F	131	F	adversarial
0034-003	F	231	M	original
0034-003	F	231	M	adversarial
0035-003	F	003	F	original
0035-003	F	231	M	adversarial
0036-003	F	003	F	original
0036-003	F	131	F	adversarial
0037-003	F	218	M	original
0037-003	F	218	M	adversarial
0038-003	F	003	F	original
0038-003	F	218	M	adversarial
0039-003	F	003	F	original
0039-003	F	011	F	adversarial
0040-003	F	167	M	original
0040-003	F	123	M	adversarial
0041-004	F	077	M	original
0041-004	F	077	M	adversarial
0042-004	F	077	M	original
0042-004	F	053	F	adversarial
0043-004	F	077	M	original
0043-004	F	078	F	adversarial
0044-004	F	001	M	original
0044-004	F	053	F	adversarial
0045-004	F	077	M	original
0045-004	F	078	F	adversarial
0046-004	F	004	F	original
0046-004	F	053	F	adversarial
0047-004	F	077	M	original
0047-004	F	157	M	adversarial
0048-004	F	077	M	original
0048-004	F	157	M	adversarial
0049-004	F	144	F	original
0049-004	F	144	F	adversarial
0050-004	F	004	F	original
0050-004	F	077	M	adversarial
0051-004	F	004	F	original
0051-004	F	001	M	adversarial
0052-004	F	004	F	original
0052-004	F	144	F	adversarial
0053-004	F	004	F	original
0053-004	F	144	F	adversarial
0054-005	F	135	M	original
0054-005	F	135	M	adversarial
0055-005	F	135	M	original
0055-005	F	135	M	adversarial
0056-005	F	135	M	original
0056-005	F	135	M	adversarial
0057-005	F	135	M	original
0057-005	F	135	M	adversarial
0058-005	F	135	M	original
0058-005	F	135	M	adversarial
0059-005	F	135	M	original
0059-005	F	135	M	adversarial
0060-005	F	135	M	original
0060-005	F	135	M	adversarial
